,0
0,-0.43230551702804876
1,-0.554903299114906
2,-0.6568471420603392
3,-0.7359085196333192
4,-0.8137307525239121
5,-0.8592287327195184
6,-0.8993399068562395
7,-0.4222038488945479
8,-0.5984276102045566
9,-0.6995136592021807
10,-0.7569251518641504
11,-0.8159298710452813
12,-0.8514290958743529
13,-0.884143515102039
14,-0.5440458271711988
15,-0.6724172121124222
16,-0.7471297032440585
17,-0.8004646592351683
18,-0.8403946741542389
19,-0.8805764918229599
20,-0.9068094243428491
21,-0.6146854172181536
22,-0.729472933935761
23,-0.7906328276992484
24,-0.8313625293284915
25,-0.8675005159710036
26,-0.8986118174141812
27,-0.9206119167352745
28,-0.6613293890323353
29,-0.7682445895562319
30,-0.8188476175981845
31,-0.8525439761153207
32,-0.8850447787424255
33,-0.9125460024762754
34,-0.9291358656717037
35,-0.7023966010781314
36,-0.7956039298501637
37,-0.8387531820752087
38,-0.8690533667429107
39,-0.897182772703602
40,-0.914882508820056
41,-0.9363793346047642
42,-0.7328939408471032
43,-0.8057062346434665
44,-0.853545597554678
45,-0.886994957578674
46,-0.9069598106906959
47,-0.9285499695611481
48,-0.9413209878400391
