,0
0,-0.4291697262184254
1,-0.5536624820010421
2,-0.6568427432615022
3,-0.7473153026492605
4,-0.8100642475089507
5,-0.8592287327195183
6,-0.8993399068562392
7,-0.4222038488945478
8,-0.5984276102045565
9,-0.6995136592021806
10,-0.753888657290509
11,-0.8159298710452814
12,-0.85236814534076
13,-0.8822386758368228
14,-0.5440458271711986
15,-0.6724172121124222
16,-0.7472823883597591
17,-0.79980321469089
18,-0.8439735693906416
19,-0.8800835867874472
20,-0.9063165193073363
21,-0.6146854172181533
22,-0.7292521373746709
23,-0.7904120311381582
24,-0.8353186758669908
25,-0.8659417099417333
26,-0.8998351679700436
27,-0.9193817259422956
28,-0.6613293890323352
29,-0.7680669801658467
30,-0.8186700082077996
31,-0.8585568002631984
32,-0.8850447787424256
33,-0.9107706943273335
34,-0.9291291950339227
35,-0.7023966121175944
36,-0.7954550865480255
37,-0.8386043367624634
38,-0.8749393061129765
39,-0.8974151708077419
40,-0.9193546887793314
41,-0.9310498842551844
42,-0.732893940847103
43,-0.8158098128866247
44,-0.8534173730197915
45,-0.882425409663133
46,-0.9071123116965427
47,-0.9277744931409531
48,-0.940545511419844
