,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,28.0,19.0,,,,,,,,,,,,
1,27.0,18.0,32.0,28.0,,,,,,,,,,
2,28.0,19.0,36.0,18.0,34.0,35.0,,,,,,,,
3,36.0,18.0,35.0,45.0,31.0,26.0,27.0,18.0,,,,,,
4,36.0,18.0,27.0,18.0,34.0,35.0,28.0,26.0,30.0,40.0,,,,
5,28.0,26.0,27.0,18.0,34.0,35.0,36.0,18.0,41.0,50.0,30.0,40.0,,
6,27.0,18.0,30.0,40.0,41.0,50.0,36.0,18.0,34.0,35.0,6.0,17.0,28.0,26.0
7,33.0,27.0,,,,,,,,,,,,
8,33.0,27.0,27.0,18.0,,,,,,,,,,
9,33.0,27.0,35.0,45.0,27.0,18.0,,,,,,,,
10,30.0,40.0,27.0,18.0,33.0,27.0,35.0,45.0,,,,,,
11,30.0,40.0,36.0,19.0,35.0,45.0,27.0,25.0,25.0,17.0,,,,
12,41.0,50.0,25.0,17.0,30.0,40.0,36.0,19.0,34.0,35.0,27.0,25.0,,
13,34.0,35.0,38.0,25.0,25.0,17.0,41.0,50.0,36.0,17.0,30.0,40.0,28.0,25.0
14,33.0,27.0,,,,,,,,,,,,
15,27.0,18.0,33.0,27.0,,,,,,,,,,
16,34.0,35.0,38.0,25.0,28.0,19.0,,,,,,,,
17,38.0,25.0,35.0,45.0,25.0,17.0,31.0,27.0,,,,,,
18,25.0,17.0,35.0,45.0,30.0,40.0,28.0,25.0,38.0,25.0,,,,
19,36.0,17.0,25.0,17.0,30.0,40.0,37.0,26.0,35.0,45.0,27.0,24.0,,
20,6.0,17.0,25.0,17.0,35.0,45.0,37.0,26.0,30.0,40.0,36.0,17.0,27.0,24.0
21,33.0,27.0,,,,,,,,,,,,
22,28.0,19.0,38.0,25.0,,,,,,,,,,
23,28.0,19.0,38.0,25.0,34.0,35.0,,,,,,,,
24,31.0,27.0,38.0,25.0,35.0,45.0,25.0,17.0,,,,,,
25,36.0,17.0,28.0,19.0,34.0,35.0,37.0,26.0,30.0,40.0,,,,
26,38.0,25.0,25.0,17.0,30.0,40.0,28.0,25.0,36.0,17.0,35.0,45.0,,
27,35.0,45.0,30.0,40.0,36.0,17.0,27.0,24.0,25.0,17.0,6.0,17.0,37.0,26.0
28,37.0,24.0,,,,,,,,,,,,
29,28.0,19.0,38.0,25.0,,,,,,,,,,
30,38.0,25.0,28.0,19.0,34.0,35.0,,,,,,,,
31,25.0,17.0,38.0,25.0,31.0,27.0,35.0,45.0,,,,,,
32,36.0,17.0,27.0,18.0,30.0,40.0,37.0,26.0,35.0,35.0,,,,
33,36.0,17.0,25.0,17.0,30.0,40.0,35.0,45.0,27.0,24.0,37.0,26.0,,
34,25.0,17.0,28.0,25.0,34.0,35.0,30.0,40.0,41.0,50.0,38.0,25.0,36.0,19.0
35,37.0,24.0,,,,,,,,,,,,
36,38.0,25.0,28.0,19.0,,,,,,,,,,
37,28.0,19.0,38.0,25.0,34.0,35.0,,,,,,,,
38,25.0,17.0,31.0,27.0,38.0,25.0,35.0,45.0,,,,,,
39,25.0,17.0,28.0,25.0,30.0,40.0,36.0,19.0,38.0,25.0,,,,
40,25.0,17.0,27.0,24.0,37.0,26.0,36.0,17.0,35.0,45.0,30.0,40.0,,
41,42.0,49.0,30.0,40.0,9.0,16.0,28.0,19.0,35.0,35.0,38.0,25.0,37.0,20.0
42,37.0,24.0,,,,,,,,,,,,
43,38.0,25.0,28.0,19.0,,,,,,,,,,
44,34.0,35.0,28.0,19.0,38.0,25.0,,,,,,,,
45,38.0,25.0,27.0,18.0,37.0,20.0,34.0,35.0,,,,,,
46,37.0,20.0,35.0,35.0,38.0,25.0,27.0,18.0,30.0,40.0,,,,
47,35.0,45.0,38.0,25.0,30.0,40.0,27.0,24.0,25.0,17.0,37.0,20.0,,
48,38.0,25.0,27.0,24.0,30.0,40.0,35.0,45.0,25.0,17.0,37.0,20.0,6.0,17.0
